"","scrubbed_species_binomial","Height","Leaf_N","Leaf_P","Seed_mass","SLA","Wood_density","FAMILY_STD","GROWTHFORM_STD","GROWTHFORM_DIV","GROWTHFORM_GEN"
"4078","Coccoloba swartzii",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA
"4079","Coccoloba tuerckheimii",NA,19.4,NA,NA,NA,NA,"Polygonaceae","Tree","Tree","woody"
"4080","Coccoloba uvifera",18.8976,NA,NA,855,NA,0.7,NA,NA,NA,NA
"4081","Coccothrinax argentata",8.2296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4082","Cocculus carolinus",NA,NA,NA,2.4,NA,NA,"Menispermaceae","Vine","Vine","herbaceous"
"4083","Cochlearia anglica",0.156875,NA,NA,1.31,24.292,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4084","Cochlearia danica",0.0833333333333333,NA,NA,0.3,27.6453846153846,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4085","Cochlearia officinalis",0.169,NA,NA,0.524285714285714,24.63,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4086","Cochlearia pyrenaica",NA,NA,NA,0.69,NA,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4087","Cochlospermum fraseri",NA,17.65,0.8,41.2,18.34,NA,NA,NA,NA,NA
"4088","Cochlospermum orinocense",NA,NA,NA,NA,NA,0.22393,"Bixaceae","Tree","Tree","woody"
"4089","Cochlospermum religiosum",NA,NA,NA,108.743333333333,NA,0.252048,"Bixaceae","Tree","Tree","woody"
"4090","Cochlospermum vitifolium",17,NA,NA,23.4524253846154,NA,0.218333333333333,"Bixaceae","Tree","Herb_Shrub_Tree","woody"
"4091","Cocos nucifera",28.3464,NA,NA,576800,NA,0.5,"Arecaceae","Tree","Tree","woody"
"4092","Codiaeum variegatum",NA,NA,NA,29,NA,NA,"Euphorbiaceae","Shrub","Tree_Shrub","woody"
"4093","Codonocarpus attenuatus",NA,NA,NA,NA,NA,0.3231958,NA,NA,NA,NA
"4094","Codonocarpus cotinifolius",NA,NA,NA,NA,NA,0.3747675,"Gyrostemonaceae","Tree","Tree","woody"
"4095","Coelocaryon oxycarpum",NA,NA,NA,NA,NA,0.451185988833333,NA,NA,NA,NA
"4096","Coelocaryon preussii",32.75,NA,NA,NA,NA,0.496772240959184,"Myristicaceae","Tree","Tree","woody"
"4097","Coelostegia borneensis",NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA
"4098","Coffea arabica",NA,33.3229166666667,NA,188.3175,1.03130846232214e-05,0.61996,"Rubiaceae","Shrub","Tree_Shrub","woody"
"4099","Coffea canephora",6.00913242009132,NA,NA,142.4,NA,NA,NA,NA,NA,NA
"4100","Coffea congensis",NA,NA,NA,141.4,NA,NA,NA,NA,NA,NA
"4101","Coffea liberica",NA,NA,NA,392.925,NA,NA,"Rubiaceae","Tree","Tree","woody"
"4102","Coffea racemosa",NA,NA,NA,41.7,NA,NA,NA,NA,NA,NA
"4103","Coffea zanguebariae",NA,NA,NA,NA,NA,0.645875,NA,NA,NA,NA
"4104","Coincya monensis",0.275,NA,NA,1.08714285714286,16.1,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4105","Coix lacryma-jobi",NA,NA,NA,74.94,NA,NA,"Poaceae","Herb","Tree_Shrub_Herb","herbaceous"
"4106","Cojoba arborea",33,NA,NA,725,23.4567666666667,0.683333333333333,"Fabaceae","Tree","Shrub_Tree","woody"
"4107","Cojoba rufescens",NA,NA,NA,221.473,NA,NA,"Fabaceae","Tree","Shrub_Tree","woody"
"4108","Cojoba valerioi",NA,24.638,1.01769656,NA,NA,NA,"Fabaceae","Tree","Shrub_Tree","woody"
"4109","Cola acuminata",NA,NA,NA,20000,NA,0.507762823833333,"Malvaceae","Tree","Tree","woody"
"4110","Cola buntingii",NA,NA,NA,NA,NA,0.713905235,NA,NA,NA,NA
"4111","Cola cordifolia",NA,NA,NA,NA,NA,0.5230513365,NA,NA,NA,NA
"4112","Cola gigantea",NA,NA,NA,NA,NA,0.480051021,NA,NA,NA,NA
"4113","Cola greenwayi",NA,NA,NA,NA,NA,0.69539875,"Malvaceae","Tree","Tree","woody"
"4114","Cola lateritia",3.5,NA,NA,NA,NA,0.5072037215,NA,NA,NA,NA
"4115","Cola lizae",NA,NA,NA,4057.76286566667,NA,NA,NA,NA,NA,NA
"4116","Cola natalensis",NA,NA,NA,NA,NA,0.7380529135,NA,NA,NA,NA
"4117","Colchicum autumnale",0.225,NA,NA,6.205,21.632,NA,"Colchicaceae","Herb","Herb","herbaceous"
"4118","Colchicum montanum",NA,NA,NA,2.04,NA,NA,NA,NA,NA,NA
"4119","Coleanthus subtilis",0.03,NA,NA,NA,NA,NA,"Poaceae","Herb","Herb","herbaceous"
"4120","Coleostephus myconis",NA,NA,NA,0.32,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"4121","Colicodendron scabridum",NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA
"4122","Collinsia heterophylla",0.211460674157303,NA,NA,NA,NA,NA,"Plantaginaceae","Herb","Herb","herbaceous"
"4123","Collinsia parviflora",0.4,NA,NA,1.641348,NA,NA,"Plantaginaceae","Herb","Herb","herbaceous"
"4124","Collinsia verna",0.7,NA,NA,NA,NA,NA,"Plantaginaceae","Herb","Herb","herbaceous"
"4125","Collomia diversifolia",NA,NA,NA,1.222,NA,NA,"Polemoniaceae","Herb","Herb","herbaceous"
"4126","Collomia grandiflora",0.4,NA,NA,2.911,NA,NA,"Polemoniaceae","Herb","Herb","herbaceous"
"4127","Collomia heterophylla",NA,NA,NA,0.274,0.21577821,NA,"Polemoniaceae","Herb","Herb","herbaceous"
"4128","Collomia linearis",NA,NA,NA,1.02525,NA,NA,"Polemoniaceae","Herb","Herb","herbaceous"
"4129","Collomia tinctoria",NA,NA,NA,2.863,NA,NA,"Polemoniaceae","Herb","Herb","herbaceous"
"4130","Collomia tracyi",NA,NA,NA,4.084,NA,NA,"Polemoniaceae","Herb","Herb","herbaceous"
"4131","Colobanthus quitensis",NA,24,NA,NA,10,NA,"Caryophyllaceae","Herb","Herb","herbaceous"
"4132","Colona javanica",NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA
"4133","Colona scabra",NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA
"4134","Colubrina arborescens",NA,NA,NA,40,NA,0.7,"Rhamnaceae","Tree","Shrub_Tree","woody"
"4135","Colubrina elliptica",11.3792,NA,NA,NA,NA,0.8,"Rhamnaceae","Tree","Shrub_Tree","woody"
"4136","Colubrina faraloatra",NA,NA,NA,NA,NA,0.6801398985,"Rhamnaceae","Shrub","Shrub","woody"
"4137","Colubrina glandulosa",22,NA,NA,16.5866666666667,11.2092,0.695107142857143,"Rhamnaceae","Tree","Tree","woody"
"4138","Colubrina greggii",NA,26.53333333,1.10699,39.25,NA,NA,NA,NA,NA,NA
"4139","Colubrina heteroneura",NA,NA,NA,NA,NA,0.97,"Rhamnaceae","Shrub","Tree_Shrub","woody"
"4140","Colubrina oppositifolia",NA,31.7,NA,NA,11.8623962,NA,"Rhamnaceae","Tree","Tree","woody"
"4141","Colubrina spinosa",NA,29.1183333333333,0.936971883333333,NA,NA,0.4947970355,"Rhamnaceae","Tree","Liana_Shrub_Tree","woody"
"4142","Colubrina texensis",NA,NA,NA,45.6,NA,NA,"Rhamnaceae","Shrub","Shrub","woody"
"4143","Colubrina triflora",8,25.5,NA,4,19.68,0.64,NA,NA,NA,NA
"4144","Colutea abyssinica",NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA
"4145","Colutea arborescens",3.8125,NA,NA,14.7901586666667,14.86,NA,"Fabaceae","Shrub","Shrub","woody"
"4146","Colutea cilicica",NA,NA,NA,14.9,NA,NA,"Fabaceae","Shrub","Shrub","woody"
"4147","Comandra umbellata",0.4,NA,NA,NA,NA,NA,"Santalaceae","Herb","Herb","herbaceous"
"4148","Comarostaphylis arbutoides",NA,NA,NA,NA,3.3220333472,NA,"Ericaceae","Shrub","Tree_Shrub","woody"
"4149","Comarostaphylis diversifolia",NA,NA,NA,NA,3.81666666666667,NA,"Ericaceae","Shrub","Shrub","woody"
"4150","Comarostaphylis polifolia",NA,9.335525,NA,NA,3.006135,NA,"Ericaceae","Shrub","Shrub","woody"
"4151","Comarum palustre",0.4,NA,NA,0.373285714285714,19.0233333333333,NA,"Rosaceae","Herb","Herb","herbaceous"
"4152","Comastoma tenellum",0.015,NA,NA,NA,NA,NA,"Gentianaceae","Herb","Herb","herbaceous"
"4153","Combretocarpus rotundatus",NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA
"4154","Combretum adenogonium",NA,34,2,NA,14.25,0.645875,NA,NA,NA,NA
"4155","Combretum apiculatum",NA,17.4333333333333,1.03333333333333,NA,7.95733333333333,0.869805,NA,NA,NA,NA
"4156","Combretum collinum",NA,22,1,NA,8.76,0.8,"Combretaceae","Tree","Tree","woody"
"4157","Combretum decandrum",NA,11.5,NA,NA,NA,NA,"Combretaceae","Vine","Liana_Vine","herbaceous"
"4158","Combretum elaeagnoides",NA,NA,NA,NA,NA,0.8568475,NA,NA,NA,NA
"4159","Combretum erythrophyllum",NA,NA,NA,NA,NA,0.60285,"Combretaceae","Tree","Tree","woody"
"4160","Combretum fruticosum",NA,26,NA,NA,24.62,0.58,NA,NA,NA,NA
"4161","Combretum glutinosum",NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA
"4162","Combretum hereroense",NA,13,1,NA,9.69,0.8138225,NA,NA,NA,NA
"4163","Combretum imberbe",NA,14,2,NA,5.77,1.059015,"Combretaceae","Tree","Tree","woody"
"4164","Combretum leprosum",NA,NA,NA,NA,NA,0.63,"Combretaceae","Tree","Liana_Tree","woody"
"4165","Combretum molle",NA,11.4,0.7,NA,7.977,0.75784,NA,NA,NA,NA
"4166","Combretum rotundifolium",NA,NA,NA,407.319034625,NA,NA,"Combretaceae","Liana","Liana","woody"
"4167","Combretum schumannii",NA,NA,NA,NA,NA,0.92922475,NA,NA,NA,NA
"4168","Combretum zeyheri",NA,24,1,1000,8.25,NA,NA,NA,NA,NA
"4169","Commelina benghalensis",NA,25.93,3.3,NA,29.171,NA,"Commelinaceae","Herb","Herb","herbaceous"
"4170","Commelina bracteosa",NA,NA,NA,NA,30.8326956521739,NA,NA,NA,NA,NA
"4171","Commelina communis",NA,21.6,1.71,8.48,NA,NA,"Commelinaceae","Herb","Herb","herbaceous"
"4172","Commelina cyanea",NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA
"4173","Commelina ensifolia",NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA
"4174","Commelina lanceolata",NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA
"4175","Commersonia bartramia",NA,NA,NA,7.35,NA,0.4005,"Malvaceae","Tree","Tree","woody"
"4176","Commersonia fraseri",NA,NA,NA,NA,NA,0.371791,NA,NA,NA,NA
"4177","Commiphora africana",NA,NA,NA,NA,NA,0.27576,"Burseraceae","Tree","Tree","woody"
"4178","Commiphora caerulea",NA,NA,NA,NA,NA,0.370115,"Burseraceae","Tree","Tree","woody"
"4179","Commiphora edulis",NA,NA,NA,NA,NA,0.645875,"Burseraceae","Tree","Tree","woody"
"4180","Commiphora lamii",7.9,NA,NA,NA,NA,0.303,NA,NA,NA,NA
"4181","Commiphora leptophloeos",NA,NA,NA,NA,NA,0.43,"Burseraceae","Tree","Shrub_Tree","woody"
"4182","Commiphora marlothii",NA,NA,NA,NA,NA,0.456165,"Burseraceae","Tree","Tree","woody"
"4183","Commiphora mollis",NA,24,1.2,NA,11.393,0.370115,"Burseraceae","Tree","Tree","woody"
"4184","Commiphora neglecta",NA,18.9,1,NA,12.321,NA,"Burseraceae","Tree","Tree","woody"
"4185","Commiphora pterocarpa",NA,NA,NA,NA,NA,0.369191358,NA,NA,NA,NA
"4186","Commiphora schimperi",NA,26,1.7,NA,15.287,NA,NA,NA,NA,NA
"4187","Commiphora simplicifolia",4.55,NA,NA,NA,NA,0.2066,NA,NA,NA,NA
"4188","Comocladia glabra",NA,25.65,1.08602,NA,NA,NA,NA,NA,NA,NA
"4189","Comocladia macrophylla",NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA
"4190","Compsoneura capitellata",NA,20,NA,NA,16.804,NA,"Myristicaceae","Tree","Shrub_Tree","woody"
"4191","Compsoneura excelsa",NA,18.6,NA,NA,17.4261078319231,NA,"Myristicaceae","Tree","Shrub_Tree","woody"
"4192","Compsoneura ulei",NA,29.9,NA,NA,21.461,NA,"Myristicaceae","Tree","Shrub_Tree","woody"
"4193","Comptonia peregrina",NA,22.1,0.77,NA,13.3231707,NA,"Myricaceae","Shrub","Shrub","woody"
"4194","Conceveiba guianensis",NA,NA,NA,NA,NA,0.54331,"Euphorbiaceae","Tree","Liana_Shrub_Tree","woody"
"4195","Conceveiba martiana",NA,NA,NA,NA,NA,0.43,"Euphorbiaceae","Tree","Shrub_Tree","woody"
"4196","Conceveiba pleiostemona",NA,24,1.00636861,NA,NA,0.2659791065,"Euphorbiaceae","Tree","Tree","woody"
"4197","Conceveiba prealta",NA,NA,NA,NA,NA,0.39,"Euphorbiaceae","Tree","Tree","woody"
"4198","Conceveiba rhytidocarpa",NA,20.8,NA,NA,17.894,NA,"Euphorbiaceae","Tree","Shrub_Tree","woody"
"4199","Conceveiba terminalis",NA,NA,NA,NA,NA,0.65,"Euphorbiaceae","Tree","Tree","woody"
"4200","Condalia globosa",5.1816,NA,NA,NA,NA,NA,"Rhamnaceae","Shrub","Shrub","woody"
"4201","Condalia hookeri",9.144,NA,NA,NA,14.5,NA,NA,NA,NA,NA
"4202","Conium maculatum",1.89,NA,NA,2.97488461538462,24.0155555555556,NA,"Apiaceae","Herb","Shrub_Herb","herbaceous"
"4203","Connarus regnellii",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4204","Connarus semidecandrus",NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA
"4205","Connarus suberosus",NA,15.4,NA,NA,6.711,0.45,NA,NA,NA,NA
"4206","Connarus turczaninowii",NA,NA,NA,1271.61,NA,NA,"Connaraceae","Vine","Liana_Tree_Shrub_Vine","herbaceous"
"4207","Conocarpus erectus",15.5448,NA,NA,NA,NA,0.845,NA,NA,NA,NA
"4208","Conopodium majus",0.274444444444444,NA,NA,2.7325,22.5,NA,"Apiaceae","Herb","Herb","herbaceous"
"4209","Conostegia bracteata",NA,NA,NA,NA,18.4260511022222,NA,"Melastomataceae","Shrub","Tree_Shrub","woody"
"4210","Conostegia cinnamomea",3,NA,NA,NA,NA,NA,"Melastomataceae","Shrub","Tree_Shrub","woody"
"4211","Conostegia hirtella",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4212","Conostegia icosandra",NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA
"4213","Conostegia pittieri",NA,19.3,0.62498,NA,NA,NA,"Melastomataceae","Tree","Shrub_Tree","woody"
"4214","Conostegia speciosa",NA,NA,NA,0.1,NA,NA,"Melastomataceae","Shrub","Herb_Tree_Shrub","woody"
"4215","Conostegia superba",NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA
"4216","Conostegia xalapensis",8,NA,NA,NA,NA,NA,"Melastomataceae","Shrub","Tree_Shrub","woody"
"4217","Conostephium pendulum",NA,9.12,NA,NA,4.62490881,NA,NA,NA,NA,NA
"4218","Conostylis candicans",NA,9.93897306896552,0.295792825517241,NA,NA,NA,NA,NA,NA,NA
"4219","Conringia orientalis",0.3075,NA,NA,2.56322833333333,29.5723066666667,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4220","Conringia planisiliqua",NA,NA,NA,1.2,NA,NA,"Brassicaceae","Herb","Herb","herbaceous"
"4221","Consolida ajacis",0.55,NA,NA,NA,NA,NA,"Ranunculaceae","Herb","Herb","herbaceous"
"4222","Consolida orientalis",0.35,NA,NA,1.5,NA,NA,"Ranunculaceae","Herb","Herb","herbaceous"
"4223","Consolida regalis",0.225,NA,NA,0.805,24.856,NA,"Ranunculaceae","Herb","Herb","herbaceous"
"4224","Constancea nevinii",NA,NA,NA,0.168,NA,NA,"Asteraceae","Shrub","Herb_Shrub","woody"
"4225","Convallaria majalis",0.15,NA,NA,17.675,28.967008548,NA,"Asparagaceae","Herb","Herb","herbaceous"
"4226","Convolvulus ammannii",NA,NA,NA,NA,15.345842535,NA,"Convolvulaceae","Herb","Herb","herbaceous"
"4227","Convolvulus arvensis",0.207454545454545,48.5868675,NA,18.3766666666667,28.7391532318519,NA,NA,NA,NA,NA
"4228","Convolvulus demissus",NA,NA,NA,36.7,NA,NA,"Convolvulaceae","Herb","Herb","herbaceous"
"4229","Convolvulus erubescens",NA,NA,NA,4.2465,NA,NA,NA,NA,NA,NA
"4230","Convolvulus hermanniae",NA,NA,NA,17.3,NA,NA,"Convolvulaceae","Liana","Liana","woody"
"4231","Convolvulus lineatus",NA,NA,NA,4.5,NA,NA,"Convolvulaceae","Herb","Herb","herbaceous"
"4232","Convolvulus remotus",NA,NA,NA,4.462,NA,NA,"Convolvulaceae","Herb","Herb","herbaceous"
"4233","Convolvulus tricolor",NA,NA,NA,8.5,NA,NA,"Convolvulaceae","Herb","Herb","herbaceous"
"4234","Conyza burkartii",NA,NA,NA,0.03,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"4235","Conyza steudelii",NA,NA,NA,0.06,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"4236","Copaiba mopane",NA,20.45,2.75,NA,7.86233333333333,0.9120125,"Fabaceae","Tree","Tree","woody"
"4237","Copaifera aromatica",NA,NA,NA,NA,NA,0.62,"Fabaceae","Tree","Shrub_Tree","woody"
"4238","Copaifera duckei",NA,25,NA,NA,9.9,0.62,"Fabaceae","Tree","Tree","woody"
"4239","Copaifera guyanensis",NA,NA,NA,NA,NA,0.6174075,NA,NA,NA,NA
"4240","Copaifera langsdorffii",NA,NA,NA,80,NA,0.65,"Fabaceae","Tree","Shrub_Tree","woody"
"4241","Copaifera mildbraedii",NA,NA,NA,NA,NA,0.6597487505,"Fabaceae","Tree","Tree","woody"
"4242","Copaifera multijuga",NA,NA,NA,NA,NA,0.585,"Fabaceae","Tree","Tree","woody"
"4243","Copaifera officinalis",NA,NA,NA,NA,NA,0.6272467761,"Fabaceae","Tree","Tree","woody"
"4244","Copaifera pubiflora",NA,NA,NA,NA,NA,0.6374075,"Fabaceae","Tree","Tree","woody"
"4245","Copaifera religiosa",NA,NA,NA,NA,NA,0.512375854,NA,NA,NA,NA
"4246","Copaifera reticulata",23.8,NA,NA,NA,NA,0.604,"Fabaceae","Tree","Tree","woody"
"4247","Copaifera salikounda",NA,NA,NA,NA,NA,0.696302173166667,NA,NA,NA,NA
"4248","Copaifera trapezifolia",NA,NA,NA,2000,NA,NA,"Fabaceae","Tree","Tree","woody"
"4249","Copaifera venezuelana",NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA
"4250","Copernicia alba",NA,NA,NA,NA,NA,0.7911,"Arecaceae","Tree","Tree","woody"
"4251","Coprosma areolata",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4252","Coprosma billardieri",NA,NA,NA,16.58,NA,NA,NA,NA,NA,NA
"4253","Coprosma ciliata",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4254","Coprosma foetidissima",4,NA,NA,14.8,NA,0.719333333333333,NA,NA,NA,NA
"4255","Coprosma grandifolia",NA,NA,NA,23.074,NA,NA,NA,NA,NA,NA
"4256","Coprosma linariifolia",8,NA,NA,NA,NA,0.82,NA,NA,NA,NA
"4257","Coprosma lucida",7,NA,NA,21.9416666666667,NA,0.808,NA,NA,NA,NA
"4258","Coprosma ochracea",NA,15.2,0.7,NA,18.867,NA,NA,NA,NA,NA
"4259","Coprosma parviflora",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4260","Coprosma propinqua",NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"4261","Coprosma pseudociliata",4,NA,NA,NA,NA,NA,"Rubiaceae","Shrub","Shrub","woody"
"4262","Coprosma pseudocuneata",NA,NA,NA,NA,NA,0.815,NA,NA,NA,NA
"4263","Coprosma quadrifida",4,NA,NA,3.84,16.13,0.485016,"Rubiaceae","Tree","Tree","woody"
"4264","Coprosma repens",NA,NA,NA,20,NA,NA,"Rubiaceae","Shrub","Tree_Shrub","woody"
"4265","Coprosma rhamnoides",NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
"4266","Coprosma robusta",NA,NA,NA,8.395,NA,NA,NA,NA,NA,NA
"4267","Coprosma tenuifolia",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4268","Coptosperma neurophyllum",NA,NA,NA,NA,NA,0.8392375,NA,NA,NA,NA
"4269","Corallorhiza maculata",0.5,NA,NA,0.002452,NA,NA,"Orchidaceae","Herb","Non-woody epiphyte_Herb","herbaceous"
"4270","Corchorus aestuans",NA,NA,NA,0.741428571428571,NA,NA,"Malvaceae","Herb","Shrub_Herb","herbaceous"
"4271","Corchorus capsularis",NA,NA,NA,3.6,NA,NA,"Malvaceae","Herb","Herb","herbaceous"
"4272","Corchorus cunninghamii",NA,NA,NA,2.84166433333333,NA,NA,NA,NA,NA,NA
"4273","Corchorus depressus",NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA
"4274","Corchorus olitorius",NA,NA,NA,1.87,NA,NA,"Malvaceae","Herb","Herb","herbaceous"
"4275","Corchorus tridens",NA,NA,NA,0.48835,NA,NA,"Malvaceae","Herb","Herb","herbaceous"
"4276","Cordia africana",5.07142857142857,NA,NA,114.445,NA,0.4935725745,"Boraginaceae","Tree","Tree","woody"
"4277","Cordia alba",5,29.4,1.6,129.7,10.902,0.5,NA,NA,NA,NA
"4278","Cordia alliodora",23.25,27.6769819718182,2.249710656,17.982662952381,20.5229485022727,0.509397419354839,"Boraginaceae","Tree","Herb_Shrub_Tree","woody"
"4279","Cordia americana",20,NA,NA,14,NA,0.7563,"Boraginaceae","Tree","Tree","woody"
"4280","Cordia bicolor",25,22.55,NA,84.947,7.63,0.475,"Boraginaceae","Tree","Shrub_Tree","woody"
"4281","Cordia boissieri",7.62,NA,NA,591.46,NA,NA,"Boraginaceae","Shrub","Tree_Shrub","woody"
"4282","Cordia borinquensis",NA,22,0.58831,NA,NA,0.7,NA,NA,NA,NA
"4283","Cordia brasiliensis",NA,NA,NA,NA,NA,0.92,"Boraginaceae","Tree","Tree","woody"
"4284","Cordia caffra",NA,NA,NA,NA,NA,0.72290475,"Boraginaceae","Tree","Tree","woody"
"4285","Cordia chamissoniana",NA,25.6,NA,NA,22.905,NA,NA,NA,NA,NA
"4286","Cordia cicatricosa",NA,NA,NA,NA,NA,0.41,"Boraginaceae","Tree","Tree","woody"
"4287","Cordia collococca",NA,18.6,NA,66.1,14.935,0.42,"Boraginaceae","Tree","Shrub_Tree","woody"
"4288","Cordia croatii",NA,25.90636,0.786742935,NA,19.7505171,NA,"Boraginaceae","Tree","Shrub_Tree","woody"
"4289","Cordia curassavica",NA,18.32593512,0.86427,7.26,NA,NA,NA,NA,NA,NA
"4290","Cordia cymosa",11.4625,21.732488679,1.174964104,NA,15.952805,0.257375,"Boraginaceae","Tree","Tree","woody"
"4291","Cordia dichotoma",NA,NA,NA,97,NA,0.451233,"Boraginaceae","Tree","Tree","woody"
"4292","Cordia diversifolia",23,NA,NA,NA,NA,NA,"Boraginaceae","Tree","Herb_Shrub_Tree","woody"
"4293","Cordia dodecandra",NA,NA,NA,2439,NA,0.65,"Boraginaceae","Tree","Shrub_Tree","woody"
"4294","Cordia ecalyculata",12,NA,NA,NA,NA,1.076,"Boraginaceae","Tree","Shrub_Tree","woody"
"4295","Cordia elaeagnoides",20,31.5,NA,8,21.99,0.635,"Boraginaceae","Tree","Tree","woody"
"4296","Cordia eriostigma",NA,25.9,NA,NA,NA,NA,"Boraginaceae","Tree","Tree","woody"
"4297","Cordia exaltata",NA,NA,NA,NA,NA,0.3986125,"Boraginaceae","Tree","Shrub_Tree","woody"
"4298","Cordia fallax",NA,NA,NA,NA,NA,0.3736125,"Boraginaceae","Tree","Vine_Tree","woody"
"4299","Cordia gerascanthus",16,28,NA,26.45,12.52,0.67375,"Boraginaceae","Tree","Tree","woody"
"4300","Cordia glabrata",NA,NA,NA,NA,NA,0.77,"Boraginaceae","Tree","Tree","woody"
"4301","Cordia globulifera",6,27,NA,NA,11.67,0.58,"Boraginaceae","Tree","Tree","woody"
"4302","Cordia goeldiana",NA,NA,NA,NA,NA,0.498,"Boraginaceae","Tree","Tree","woody"
"4303","Cordia goetzei",NA,NA,NA,NA,NA,0.75784,NA,NA,NA,NA
"4304","Cordia guanacastensis",NA,17.23248474,0.85523,NA,NA,NA,NA,NA,NA,NA
"4305","Cordia inermis",NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA
"4306","Cordia kingstoniana",NA,35.4,NA,NA,25.778,NA,"Boraginaceae","Tree","Tree","woody"
"4307","Cordia laevifrons",NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA
"4308","Cordia lasiocalyx",14,NA,NA,122.1108,NA,0.39722,"Boraginaceae","Tree","Shrub_Tree","woody"
"4309","Cordia liesneri",3.95555555555556,18.7444444444444,0.588888888888889,NA,13.7872044444444,0.547875,"Boraginaceae","Shrub","Tree_Shrub","woody"
"4310","Cordia lomatoloba",NA,NA,NA,NA,NA,0.41,"Boraginaceae","Tree","Tree","woody"
"4311","Cordia macrocephala",NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA
"4312","Cordia megalantha",35,21,1.4,129.6,15.1860588078588,0.39,"Boraginaceae","Tree","Shrub_Tree","woody"
"4313","Cordia millenii",NA,NA,NA,NA,NA,0.4092,NA,NA,NA,NA
"4314","Cordia monoica",NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA
"4315","Cordia myxa",NA,NA,NA,408.16,NA,0.363015,"Boraginaceae","Shrub","Tree_Shrub","woody"
"4316","Cordia nodosa",NA,32.4,NA,468.785805,21.686,0.39,NA,NA,NA,NA
"4317","Cordia oncocalyx",NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA
"4318","Cordia panamensis",NA,27.1157440633333,1.007925645,60.4,16.315,NA,"Boraginaceae","Tree","Shrub_Tree","woody"
"4319","Cordia panicularis",NA,NA,NA,243.842147333333,NA,NA,"Boraginaceae","Tree","Tree","woody"
"4320","Cordia platythyrsa",NA,NA,NA,NA,NA,0.3849358574,"Boraginaceae","Tree","Tree","woody"
"4321","Cordia polycephala",NA,NA,NA,2.45,NA,NA,"Boraginaceae","Shrub","Tree_Herb_Shrub","woody"
"4322","Cordia sagotii",NA,NA,NA,NA,NA,0.409075,"Boraginaceae","Tree","Tree","woody"
"4323","Cordia salvadorensis",8,NA,NA,6,NA,NA,NA,NA,NA,NA
"4324","Cordia scabrifolia",NA,NA,NA,NA,NA,0.474,"Boraginaceae","Tree","Shrub_Tree","woody"
"4325","Cordia sebestena",7.3152,NA,NA,333.33,NA,0.7,"Boraginaceae","Tree","Herb_Shrub_Tree","woody"
"4326","Cordia seleriana",NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA
"4327","Cordia sellowiana",11,NA,NA,NA,NA,NA,"Boraginaceae","Tree","Tree","woody"
"4328","Cordia sericicalyx",NA,NA,NA,NA,NA,0.387225,"Boraginaceae","Tree","Tree","woody"
"4329","Cordia silvestris",NA,NA,NA,100,NA,NA,NA,NA,NA,NA
"4330","Cordia sinensis",NA,NA,NA,108.825,NA,NA,NA,NA,NA,NA
"4331","Cordia sonorae",NA,NA,NA,NA,NA,0.81,"Boraginaceae","Tree","Tree","woody"
"4332","Cordia spinescens",NA,NA,NA,11,NA,NA,NA,NA,NA,NA
"4333","Cordia subcordata",NA,NA,NA,17.72,NA,0.49604,"Boraginaceae","Tree","Tree","woody"
